source,reason,duplicate_strategy,date,gender,level,surface,tourney_name,round,api_match_id,api_event_key,winner_api_key,winner_api_name,winner_mapping_status,winner_sackmann_key,winner_sackmann_key_original,loser_api_key,loser_api_name,loser_mapping_status,loser_sackmann_key,loser_sackmann_key_original,sackmann_match_id,winner_sackmann_key,loser_sackmann_key
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:214521,,,,,women:sackmann:220733,,,women:sackmann:214521,women:sackmann:220733
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:215983,,,,,women:sackmann:206037,,,women:sackmann:215983,women:sackmann:206037
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:221039,,,,,women:sackmann:221178,,,women:sackmann:221039,women:sackmann:221178
sackmann,duplicate_after_alias,,2023-07-10,,,,,,,,,,,women:sackmann:221073,,,,,women:sackmann:225858,,,women:sackmann:221073,women:sackmann:225858
sackmann,duplicate_after_alias,,2023-07-10,,,,,,,,,,,women:sackmann:236955,,,,,women:sackmann:201435,,,women:sackmann:236955,women:sackmann:201435
sackmann,duplicate_after_alias,,2023-07-10,,,,,,,,,,,women:sackmann:203435,,,,,women:sackmann:216139,,,women:sackmann:203435,women:sackmann:216139
sackmann,duplicate_after_alias,,2023-07-10,,,,,,,,,,,women:sackmann:214020,,,,,women:sackmann:223323,,,women:sackmann:214020,women:sackmann:223323
sackmann,duplicate_after_alias,,2023-07-10,,,,,,,,,,,women:sackmann:221073,,,,,women:sackmann:215798,,,women:sackmann:221073,women:sackmann:215798
sackmann,duplicate_after_alias,,2023-07-10,,,,,,,,,,,women:sackmann:220722,,,,,women:sackmann:236955,,,women:sackmann:220722,women:sackmann:236955
sackmann,duplicate_after_alias,,2023-07-10,,,,,,,,,,,women:sackmann:203435,,,,,women:sackmann:214604,,,women:sackmann:203435,women:sackmann:214604
sackmann,duplicate_after_alias,,2023-07-10,,,,,,,,,,,women:sackmann:206124,,,,,women:sackmann:214020,,,women:sackmann:206124,women:sackmann:214020
sackmann,duplicate_after_alias,,2023-07-17,,,,,,,,,,,women:sackmann:214599,,,,,women:sackmann:210645,,,women:sackmann:214599,women:sackmann:210645
sackmann,duplicate_after_alias,,2023-07-17,,,,,,,,,,,women:sackmann:214600,,,,,women:sackmann:203429,,,women:sackmann:214600,women:sackmann:203429
sackmann,duplicate_after_alias,,2023-07-17,,,,,,,,,,,women:sackmann:221073,,,,,women:sackmann:260254,,,women:sackmann:221073,women:sackmann:260254
sackmann,duplicate_after_alias,,2023-07-17,,,,,,,,,,,women:sackmann:203435,,,,,women:sackmann:211881,,,women:sackmann:203435,women:sackmann:211881
sackmann,duplicate_after_alias,,2023-07-17,,,,,,,,,,,women:sackmann:213998,,,,,women:sackmann:255666,,,women:sackmann:213998,women:sackmann:255666
sackmann,duplicate_after_alias,,2023-07-17,,,,,,,,,,,women:sackmann:220662,,,,,women:sackmann:214599,,,women:sackmann:220662,women:sackmann:214599
sackmann,duplicate_after_alias,,2023-07-17,,,,,,,,,,,women:sackmann:221073,,,,,women:sackmann:214600,,,women:sackmann:221073,women:sackmann:214600
sackmann,duplicate_after_alias,,2023-07-17,,,,,,,,,,,women:sackmann:202672,,,,,women:sackmann:203435,,,women:sackmann:202672,women:sackmann:203435
sackmann,duplicate_after_alias,,2023-07-17,,,,,,,,,,,women:sackmann:213998,,,,,women:sackmann:202424,,,women:sackmann:213998,women:sackmann:202424
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:216074,,,,,women:sackmann:211285,,,women:sackmann:216074,women:sackmann:211285
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:206362,,,,,women:sackmann:203449,,,women:sackmann:206362,women:sackmann:203449
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:202503,,,,,women:sackmann:204223,,,women:sackmann:202503,women:sackmann:204223
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:203514,,,,,women:sackmann:211779,,,women:sackmann:203514,women:sackmann:211779
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:201513,,,,,women:sackmann:211887,,,women:sackmann:201513,women:sackmann:211887
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:213873,,,,,women:sackmann:215970,,,women:sackmann:213873,women:sackmann:215970
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:252531,,,,,women:sackmann:201524,,,women:sackmann:252531,women:sackmann:201524
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:223333,,,,,women:sackmann:212043,,,women:sackmann:223333,women:sackmann:212043
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:216074,,,,,women:sackmann:206362,,,women:sackmann:216074,women:sackmann:206362
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:202503,,,,,women:sackmann:203514,,,women:sackmann:202503,women:sackmann:203514
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:213873,,,,,women:sackmann:201513,,,women:sackmann:213873,women:sackmann:201513
sackmann,duplicate_after_alias,,2023-08-07,,,,,,,,,,,women:sackmann:223333,,,,,women:sackmann:252531,,,women:sackmann:223333,women:sackmann:252531
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:215988,,,,,women:sackmann:214577,,,women:sackmann:215988,women:sackmann:214577
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:221024,,,,,women:sackmann:221789,,,women:sackmann:221024,women:sackmann:221789
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:220722,,,,,women:sackmann:214694,,,women:sackmann:220722,women:sackmann:214694
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:213576,,,,,women:sackmann:216076,,,women:sackmann:213576,women:sackmann:216076
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:220550,,,,,women:sackmann:204291,,,women:sackmann:220550,women:sackmann:204291
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:206374,,,,,women:sackmann:211635,,,women:sackmann:206374,women:sackmann:211635
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:202443,,,,,women:sackmann:221020,,,women:sackmann:202443,women:sackmann:221020
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:220724,,,,,women:sackmann:202939,,,women:sackmann:220724,women:sackmann:202939
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:215988,,,,,women:sackmann:221024,,,women:sackmann:215988,women:sackmann:221024
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:213576,,,,,women:sackmann:220722,,,women:sackmann:213576,women:sackmann:220722
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:206374,,,,,women:sackmann:220550,,,women:sackmann:206374,women:sackmann:220550
sackmann,duplicate_after_alias,,2023-08-14,,,,,,,,,,,women:sackmann:202443,,,,,women:sackmann:220724,,,women:sackmann:202443,women:sackmann:220724
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:202662,,,,,women:sackmann:211063,,,women:sackmann:202662,women:sackmann:211063
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:214653,,,,,women:sackmann:260490,,,women:sackmann:214653,women:sackmann:260490
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:215480,,,,,women:sackmann:214541,,,women:sackmann:215480,women:sackmann:214541
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:211260,,,,,women:sackmann:221014,,,women:sackmann:211260,women:sackmann:221014
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:222859,,,,,women:sackmann:214191,,,women:sackmann:222859,women:sackmann:214191
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:202669,,,,,women:sackmann:221247,,,women:sackmann:202669,women:sackmann:221247
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:230870,,,,,women:sackmann:220770,,,women:sackmann:230870,women:sackmann:220770
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:221178,,,,,women:sackmann:214919,,,women:sackmann:221178,women:sackmann:214919
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:202662,,,,,women:sackmann:214653,,,women:sackmann:202662,women:sackmann:214653
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:211260,,,,,women:sackmann:215480,,,women:sackmann:211260,women:sackmann:215480
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:222859,,,,,women:sackmann:202669,,,women:sackmann:222859,women:sackmann:202669
sackmann,duplicate_after_alias,,2023-09-11,,,,,,,,,,,women:sackmann:221178,,,,,women:sackmann:230870,,,women:sackmann:221178,women:sackmann:230870
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:221023,,,,,women:sackmann:216076,,,women:sackmann:221023,women:sackmann:216076
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:223286,,,,,women:sackmann:220887,,,women:sackmann:223286,women:sackmann:220887
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:211635,,,,,women:sackmann:215992,,,women:sackmann:211635,women:sackmann:215992
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:215138,,,,,women:sackmann:202424,,,women:sackmann:215138,women:sackmann:202424
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:201478,,,,,women:sackmann:202479,,,women:sackmann:201478,women:sackmann:202479
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:221116,,,,,women:sackmann:202414,,,women:sackmann:221116,women:sackmann:202414
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:203513,,,,,women:sackmann:220550,,,women:sackmann:203513,women:sackmann:220550
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:216263,,,,,women:sackmann:203370,,,women:sackmann:216263,women:sackmann:203370
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:221023,,,,,women:sackmann:223286,,,women:sackmann:221023,women:sackmann:223286
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:215138,,,,,women:sackmann:211635,,,women:sackmann:215138,women:sackmann:211635
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:201478,,,,,women:sackmann:221116,,,women:sackmann:201478,women:sackmann:221116
sackmann,duplicate_after_alias,,2023-10-30,,,,,,,,,,,women:sackmann:203513,,,,,women:sackmann:216263,,,women:sackmann:203513,women:sackmann:216263
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:211539,,,,,women:sackmann:220722,,,women:sackmann:211539,women:sackmann:220722
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:213525,,,,,women:sackmann:219940,,,women:sackmann:213525,women:sackmann:219940
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:214521,,,,,women:sackmann:221073,,,women:sackmann:214521,women:sackmann:221073
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:214684,,,,,women:sackmann:221116,,,women:sackmann:214684,women:sackmann:221116
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:201606,,,,,women:sackmann:213908,,,women:sackmann:201606,women:sackmann:213908
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:220435,,,,,women:sackmann:221237,,,women:sackmann:220435,women:sackmann:221237
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:222601,,,,,women:sackmann:215806,,,women:sackmann:222601,women:sackmann:215806
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:232447,,,,,women:sackmann:223253,,,women:sackmann:232447,women:sackmann:223253
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:220662,,,,,women:sackmann:223333,,,women:sackmann:220662,women:sackmann:223333
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:215804,,,,,women:sackmann:221985,,,women:sackmann:215804,women:sackmann:221985
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:214535,,,,,women:sackmann:215983,,,women:sackmann:214535,women:sackmann:215983
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:230870,,,,,women:sackmann:220332,,,women:sackmann:230870,women:sackmann:220332
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:215899,,,,,women:sackmann:213779,,,women:sackmann:215899,women:sackmann:213779
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:220750,,,,,women:sackmann:220735,,,women:sackmann:220750,women:sackmann:220735
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:221236,,,,,women:sackmann:215290,,,women:sackmann:221236,women:sackmann:215290
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:202490,,,,,women:sackmann:201672,,,women:sackmann:202490,women:sackmann:201672
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:211539,,,,,women:sackmann:213525,,,women:sackmann:211539,women:sackmann:213525
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:214684,,,,,women:sackmann:214521,,,women:sackmann:214684,women:sackmann:214521
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:201606,,,,,women:sackmann:220435,,,women:sackmann:201606,women:sackmann:220435
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:232447,,,,,women:sackmann:222601,,,women:sackmann:232447,women:sackmann:222601
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:215804,,,,,women:sackmann:220662,,,women:sackmann:215804,women:sackmann:220662
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:230870,,,,,women:sackmann:214535,,,women:sackmann:230870,women:sackmann:214535
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:220750,,,,,women:sackmann:215899,,,women:sackmann:220750,women:sackmann:215899
sackmann,duplicate_after_alias,,2024-01-01,,,,,,,,,,,women:sackmann:202490,,,,,women:sackmann:221236,,,women:sackmann:202490,women:sackmann:221236
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:216213,,,,,women:sackmann:261129,,,women:sackmann:216213,women:sackmann:261129
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:214541,,,,,women:sackmann:206362,,,women:sackmann:214541,women:sackmann:206362
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:202662,,,,,women:sackmann:214992,,,women:sackmann:202662,women:sackmann:214992
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:215151,,,,,women:sackmann:215314,,,women:sackmann:215151,women:sackmann:215314
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:203281,,,,,women:sackmann:259110,,,women:sackmann:203281,women:sackmann:259110
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:214418,,,,,women:sackmann:211407,,,women:sackmann:214418,women:sackmann:211407
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:204223,,,,,women:sackmann:203509,,,women:sackmann:204223,women:sackmann:203509
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:259623,,,,,women:sackmann:201672,,,women:sackmann:259623,women:sackmann:201672
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:215077,,,,,women:sackmann:202424,,,women:sackmann:215077,women:sackmann:202424
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:220842,,,,,women:sackmann:204394,,,women:sackmann:220842,women:sackmann:204394
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:215163,,,,,women:sackmann:220364,,,women:sackmann:215163,women:sackmann:220364
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:221124,,,,,women:sackmann:220825,,,women:sackmann:221124,women:sackmann:220825
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:214541,,,,,women:sackmann:216213,,,women:sackmann:214541,women:sackmann:216213
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:215151,,,,,women:sackmann:202662,,,women:sackmann:215151,women:sackmann:202662
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:203281,,,,,women:sackmann:214418,,,women:sackmann:203281,women:sackmann:214418
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:204223,,,,,women:sackmann:259623,,,women:sackmann:204223,women:sackmann:259623
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:220842,,,,,women:sackmann:215077,,,women:sackmann:220842,women:sackmann:215077
sackmann,duplicate_after_alias,,2024-02-05,,,,,,,,,,,women:sackmann:221124,,,,,women:sackmann:215163,,,women:sackmann:221124,women:sackmann:215163
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:203297,,,,,women:sackmann:214019,,,women:sackmann:203297,women:sackmann:214019
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:222965,,,,,women:sackmann:263857,,,women:sackmann:222965,women:sackmann:263857
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:215453,,,,,women:sackmann:214453,,,women:sackmann:215453,women:sackmann:214453
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:223194,,,,,women:sackmann:201586,,,women:sackmann:223194,women:sackmann:201586
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:220520,,,,,women:sackmann:221985,,,women:sackmann:220520,women:sackmann:221985
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:215988,,,,,women:sackmann:202424,,,women:sackmann:215988,women:sackmann:202424
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:216265,,,,,women:sackmann:213646,,,women:sackmann:216265,women:sackmann:213646
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:213672,,,,,women:sackmann:211594,,,women:sackmann:213672,women:sackmann:211594
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:222965,,,,,women:sackmann:203297,,,women:sackmann:222965,women:sackmann:203297
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:215453,,,,,women:sackmann:223194,,,women:sackmann:215453,women:sackmann:223194
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:220520,,,,,women:sackmann:215988,,,women:sackmann:220520,women:sackmann:215988
sackmann,duplicate_after_alias,,2024-03-11,,,,,,,,,,,women:sackmann:216265,,,,,women:sackmann:213672,,,women:sackmann:216265,women:sackmann:213672
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:220733,,,,,women:sackmann:253681,,,women:sackmann:220733,women:sackmann:253681
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:203514,,,,,women:sackmann:201329,,,women:sackmann:203514,women:sackmann:201329
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:220742,,,,,women:sackmann:239156,,,women:sackmann:220742,women:sackmann:239156
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:214480,,,,,women:sackmann:221768,,,women:sackmann:214480,women:sackmann:221768
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:211329,,,,,women:sackmann:202662,,,women:sackmann:211329,women:sackmann:202662
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:220662,,,,,women:sackmann:202669,,,women:sackmann:220662,women:sackmann:202669
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:214507,,,,,women:sackmann:222919,,,women:sackmann:214507,women:sackmann:222919
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:211817,,,,,women:sackmann:202671,,,women:sackmann:211817,women:sackmann:202671
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:203514,,,,,women:sackmann:220733,,,women:sackmann:203514,women:sackmann:220733
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:220742,,,,,women:sackmann:214480,,,women:sackmann:220742,women:sackmann:214480
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:220662,,,,,women:sackmann:211329,,,women:sackmann:220662,women:sackmann:211329
sackmann,duplicate_after_alias,,2024-03-25,,,,,,,,,,,women:sackmann:211817,,,,,women:sackmann:214507,,,women:sackmann:211817,women:sackmann:214507
sackmann,duplicate_after_alias,,2024-04-15,,,,,,,,,,,women:sackmann:214684,,,,,women:sackmann:211541,,,women:sackmann:214684,women:sackmann:211541
sackmann,duplicate_after_alias,,2024-04-15,,,,,,,,,,,women:sackmann:211329,,,,,women:sackmann:239392,,,women:sackmann:211329,women:sackmann:239392
sackmann,duplicate_after_alias,,2024-04-15,,,,,,,,,,,women:sackmann:215064,,,,,women:sackmann:201481,,,women:sackmann:215064,women:sackmann:201481
