category,date,time,gender,tour_level,tournament,round,match,player_name,opponent_name,player_key,opponent_key,player_api_key,opponent_api_key,player_canonical_key,opponent_canonical_key,mapping_status,match_status,elo_no_bet_reason,odds,result,old_profit,stake
min_level_not_met,2026-05-29,10:00,men,itf,M15 Brcko,M15 Brcko - Quarter-finals,J. Simundza - A. Raynel,A. Raynel,J. Simundza,700,50324,men:api:700,men:api:50324,men:sackmann:209985,men:sackmann:210537,mapped,matched_by_match_id,min_level_not_met,2.1,loss,-1.25,1.25
min_level_not_met,2026-05-29,09:30,men,itf,M15 Tsaghkadzor,M15 Tsaghkadzor - Quarter-finals,K. Szymkowiak - A. Binda,K. Szymkowiak,A. Binda,67375,13409,men:api:67375,men:api:13409,men:sackmann:212852,men:sackmann:208240,mapped,matched_by_match_id,min_level_not_met,2.1,loss,-1.25,1.25
min_level_not_met,2026-05-29,12:00,women,itf,W75 Zaragoza (Spain),W75 Zaragoza - Quarter-finals,L. Giovannini - N. Podoroska,N. Podoroska,L. Giovannini,2805,21359,women:api:2805,women:api:21359,women:sackmann:206408,women:sackmann:236972,mapped,matched_by_match_id,min_level_not_met,2.32,loss,-1.25,1.25
min_level_not_met,2026-05-29,11:00,men,itf,M15 Brcko,M15 Brcko - Quarter-finals,M. Fuele - G. Campana Lee,M. Fuele,G. Campana Lee,918,10845,men:api:918,men:api:10845,men:sackmann:200538,men:sackmann:210498,mapped,matched_by_match_id,min_level_not_met,2.34,win,1.675,1.25
min_level_not_met,2026-05-29,11:30,men,itf,M15 Brcko,M15 Brcko - Quarter-finals,N. Djosic - V. Gonzalez-Galino,N. Djosic,V. Gonzalez-Galino,51949,78188,men:api:51949,men:api:78188,men:sackmann:212149,men:sackmann:213228,mapped,matched_by_match_id,min_level_not_met,1.71,win,0.5325,0.75
min_level_not_met,2026-05-29,11:00,women,itf,W15 Oliva (Spain),W15 Oliva - Quarter-finals,S. Dols - M. Maquet,M. Maquet,S. Dols,69067,36845,women:api:69067,women:api:36845,women:sackmann:220875,women:sackmann:223141,mapped,matched_by_match_id,min_level_not_met,2.0,loss,-1.0,1.0
min_level_not_met,2026-05-29,10:00,men,challenger,Centurion (South Africa) - Qualification,Centurion - Quarter-finals,S. Pankin - E. Coulibaly,S. Pankin,E. Coulibaly,54138,11110,men:api:54138,men:api:11110,men:sackmann:208431,men:sackmann:209131,mapped,matched_by_match_id,min_level_not_met,2.67,loss,-1.25,1.25
min_level_not_met,2026-05-29,11:30,men,challenger,Chisinau,Chisinau - Quarter-finals,S. Sakellaridis - S. Nagal,S. Sakellaridis,S. Nagal,742,1077,men:api:742,men:api:1077,men:sackmann:208852,men:sackmann:111576,mapped,matched_by_match_id,min_level_not_met,1.83,win,1.0375,1.25
min_level_not_met,2026-05-29,17:30,men,itf,M25 Grado (Italy),M25 Grado - Quarter-finals,S. Sorger - M. Donald,M. Donald,S. Sorger,1322,22921,men:api:1322,men:api:22921,men:sackmann:210054,men:sackmann:210285,mapped,matched_by_match_id,min_level_not_met,2.25,loss,-1.25,1.25
min_level_not_met,2026-05-29,08:05,women,itf,W35 Wuning 2 (China),W35 Wuning 2 - Quarter-finals,Y. Yang - H. Inoue,Y. Yang,H. Inoue,1384,118,women:api:1384,women:api:118,women:sackmann:215820,women:sackmann:222080,mapped,matched_by_match_id,min_level_not_met,2.1,loss,-1.0,1.0
min_level_not_met,2026-06-01,15:00,women,challenger,Foggia (Italy),Foggia - 1/16-finals,T. Pieri - V. Bosio,V. Bosio,T. Pieri,4019,1426,women:api:4019,women:api:1426,women:sackmann:206345,women:sackmann:214301,mapped,matched_by_date_gender_pair,min_level_not_met,2.1,loss,-1.25,1.25
min_level_not_met,2026-06-02,21:00,women,itf,"W15 Lakewood, CA 2","W15 Lakewood, CA 2 - 1/16-finals",C. Aulia - J. Chan,C. Aulia,J. Chan,3325,84315,women:api:3325,women:api:84315,women:sackmann:223160,women:sackmann:270125,mapped,matched_by_match_id,min_level_not_met,1.91,loss,-1.0,1.0
min_level_not_met,2026-06-02,11:30,men,challenger,Heilbronn,Heilbronn - 1/16-finals,M. Petkovic - A. Moro Canas,M. Petkovic,A. Moro Canas,63396,1331,men:api:63396,men:api:1331,men:sackmann:213001,men:sackmann:208279,mapped,matched_by_match_id,min_level_not_met,2.76,loss,-1.25,1.25
min_level_not_met,2026-06-04,10:00,men,challenger,Centurion 2 (South Africa) - Qualification,Centurion 2 - 1/8-finals,A. Beckley - T. Duran,A. Beckley,T. Duran,642,14315,men:api:642,men:api:14315,men:sackmann:209278,men:sackmann:210513,mapped,matched_by_match_id,min_level_not_met,2.0,loss,-1.5,1.5
min_level_not_met,2026-06-04,13:00,women,challenger,Makarska,Makarska - 1/16-finals,L. Havlickova - Y. Kabbaj,Y. Kabbaj,L. Havlickova,37878,8975,women:api:37878,women:api:8975,women:sackmann:236956,women:sackmann:222980,mapped,matched_by_match_id,min_level_not_met,2.63,win,2.0375,1.25
min_level_not_met,2026-06-04,12:00,women,challenger,Birmingham,Birmingham - 1/16-finals,T. Preston - A. Dudeney,A. Dudeney,T. Preston,37850,3324,women:api:37850,women:api:3324,women:sackmann:260206,women:sackmann:223194,mapped,matched_by_match_id,min_level_not_met,2.5,loss,-1.25,1.25
min_level_not_met,2026-06-05,10:00,men,challenger,Centurion 2 (South Africa) - Qualification,Centurion 2 - Quarter-finals,A. Azkara - K. Montsi,A. Azkara,K. Montsi,33897,786,men:api:33897,men:api:786,men:sackmann:207907,men:sackmann:207809,mapped,matched_by_match_id,min_level_not_met,2.23,loss,-1.5,1.5
min_level_not_met,2026-06-05,10:00,men,itf,M15 Tsaghkadzor 2,M15 Tsaghkadzor 2 - Quarter-finals,A. Boros - L. Bocchi,L. Bocchi,A. Boros,682,13823,men:api:682,men:api:13823,men:sackmann:200595,men:sackmann:210236,mapped,matched_by_match_id,min_level_not_met,2.4,win,1.75,1.25
min_level_not_met,2026-06-05,13:00,men,challenger,Birmingham,Birmingham - Quarter-finals,A. Fery - R. Hijikata,A. Fery,R. Hijikata,8174,3317,men:api:8174,men:api:3317,men:sackmann:209259,men:sackmann:208014,mapped,matched_by_match_id,min_level_not_met,2.0,win,1.5,1.5
min_level_not_met,2026-06-05,12:00,men,challenger,Heilbronn,Heilbronn - Quarter-finals,A. Moro Canas - H. Squire,H. Squire,A. Moro Canas,907,1331,men:api:907,men:api:1331,men:sackmann:202260,men:sackmann:208279,mapped,matched_by_match_id,min_level_not_met,2.2,win,1.8,1.5
min_level_not_met,2026-06-05,11:30,men,challenger,Centurion 2 (South Africa) - Qualification,Centurion 2 - Quarter-finals,G. Hussey - P. Henning,G. Hussey,P. Henning,627,23664,men:api:627,men:api:23664,men:sackmann:208144,men:sackmann:202475,mapped,matched_by_match_id,min_level_not_met,2.54,loss,-1.25,1.25
min_level_not_met,2026-06-05,18:30,men,itf,M25 Caltanissetta (Italy),M25 Caltanissetta - Quarter-finals,G. Tabacco - M. Giunta,G. Tabacco,M. Giunta,14127,37933,men:api:14127,men:api:37933,men:sackmann:209937,men:sackmann:210668,mapped,matched_by_match_id,min_level_not_met,2.5,loss,-1.25,1.25
min_level_not_met,2026-06-05,11:30,men,challenger,Centurion 2 (South Africa) - Qualification,Centurion 2 - Quarter-finals,H. Mayot - E. Coulibaly,E. Coulibaly,H. Mayot,11110,1189,men:api:11110,men:api:1189,men:sackmann:209131,men:sackmann:208004,mapped,matched_by_match_id,min_level_not_met,2.5,loss,-1.25,1.25
min_level_not_met,2026-06-05,12:30,women,itf,W15 Osijek,W15 Osijek - Quarter-finals,K. Supova - S. Drugdova,S. Drugdova,K. Supova,15598,60799,women:api:15598,women:api:60799,women:sackmann:235160,women:sackmann:266378,mapped,matched_by_match_id,min_level_not_met,2.37,loss,-1.25,1.25
min_level_not_met,2026-06-05,13:00,women,itf,W75 Caserta,W75 Caserta - Quarter-finals,L. Pigossi - D. Chiesa,D. Chiesa,L. Pigossi,231,1125,women:api:231,women:api:1125,women:sackmann:211328,women:sackmann:206007,mapped,matched_by_match_id,min_level_not_met,2.15,win,1.4375,1.25
min_level_not_met,2026-06-05,10:00,women,itf,W15 Banja Luka,W15 Banja Luka - 1/8-finals,M. Drobysheva - L. Petruzelova,M. Drobysheva,L. Petruzelova,78941,1355,women:api:78941,women:api:1355,women:sackmann:261061,women:sackmann:221219,mapped,matched_by_match_id,min_level_not_met,2.33,loss,-1.25,1.25
min_level_not_met,2026-06-05,14:30,women,itf,W50 Montemor-o-Novo,W50 Montemor-o-Novo - Quarter-finals,M. Jorge - V. Morvayova,V. Morvayova,M. Jorge,72,97,women:api:72,women:api:97,women:sackmann:215077,women:sackmann:221164,mapped,matched_by_match_id,min_level_not_met,2.09,loss,-1.0,1.0
min_level_not_met,2026-06-05,17:30,women,challenger,Makarska,Makarska - Quarter-finals,N. Noha Akugue - S. Sorribes Tormo,N. Noha Akugue,S. Sorribes Tormo,1029,2910,women:api:1029,women:api:2910,women:sackmann:223333,women:sackmann:204427,mapped,matched_by_match_id,min_level_not_met,2.32,loss,-1.25,1.25
min_level_not_met,2026-06-05,11:30,men,challenger,Birmingham,Birmingham - Quarter-finals,S. Shimabukuro - K. Majchrzak,S. Shimabukuro,K. Majchrzak,9608,1096,men:api:9608,men:api:1096,men:sackmann:200647,men:sackmann:111794,mapped,matched_by_match_id,min_level_not_met,2.63,loss,-1.25,1.25
min_level_not_met,2026-06-06,15:30,women,wta,Hertogenbosch,,B. Du Pree - J. Garland,B. Du Pree,J. Garland,54738,1962,women:api:54738,women:api:1962,women:sackmann:264228,women:sackmann:220466,mapped,matched_by_match_id,min_level_not_met,2.75,loss,-1.25,1.25
min_level_not_met,2026-06-06,12:30,men,challenger,Centurion 2 (South Africa) - Qualification,Centurion 2 - Semi-finals,H. Mayot - P. Henning,P. Henning,H. Mayot,23664,1189,men:api:23664,men:api:1189,men:sackmann:202475,men:sackmann:208004,mapped,matched_by_match_id,min_level_not_met,2.16,win,1.74,1.5
min_level_not_met,2026-06-06,11:00,men,challenger,Centurion 2 (South Africa) - Qualification,Centurion 2 - Semi-finals,K. Montsi - A. Donski,A. Donski,K. Montsi,9159,786,men:api:9159,men:api:786,men:sackmann:200574,men:sackmann:207809,mapped,matched_by_match_id,min_level_not_met,2.79,win,2.2375,1.25
min_level_not_met,2026-06-07,12:00,men,qualifying,Cattolica (Italy) - Qualification,Cattolica - Semi-finals,C. Sanchez Jover - G. Campana Lee,G. Campana Lee,C. Sanchez Jover,10845,584,men:api:10845,men:api:584,men:sackmann:210498,men:sackmann:202199,mapped,matched_by_match_id,min_level_not_met,2.63,loss,-1.25,1.25
min_level_not_met,2026-06-07,11:00,women,qualifying,Hertogenbosch,WTA Hertogenbosch - Final,H. Vandewinkel - A. Koevermans,A. Koevermans,H. Vandewinkel,13375,9254,women:api:13375,women:api:9254,women:sackmann:222017,women:sackmann:243420,mapped,matched_by_match_id,min_level_not_met,2.5,loss,-1.25,1.25
min_level_not_met,2026-06-07,11:00,men,qualifying,Stuttgart,ATP Stuttgart - Final,M. Huesler - G. Onclin,G. Onclin,M. Huesler,818,1746,men:api:818,men:api:1746,men:sackmann:206904,men:sackmann:144817,mapped,matched_by_match_id,min_level_not_met,2.26,win,1.89,1.5
min_level_not_met,2026-06-08,15:00,women,challenger,Ilkley,Ilkley - 1/16-finals,A. Dudeney - H. Sakatsume,A. Dudeney,H. Sakatsume,37850,115,women:api:37850,women:api:115,women:sackmann:260206,women:sackmann:221124,mapped,matched_by_match_id,min_level_not_met,2.25,win,1.5625,1.25
min_level_not_met,2026-06-08,18:00,men,challenger,Cattolica (Italy) - Qualification,Cattolica - 1/16-finals,A. Guerrieri - D. Svrcina,A. Guerrieri,D. Svrcina,853,1754,men:api:853,men:api:1754,men:sackmann:200462,men:sackmann:207494,mapped,matched_by_match_id,min_level_not_met,2.8,win,2.25,1.25
min_level_not_met,2026-06-08,10:30,men,qualifying,Cattolica (Italy) - Qualification,Cattolica - Final,C. Sanchez Jover - M. Mazza,M. Mazza,C. Sanchez Jover,695,584,men:api:695,men:api:584,men:sackmann:207601,men:sackmann:202199,mapped,matched_by_match_id,min_level_not_met,2.37,loss,-1.25,1.25
min_level_not_met,2026-06-08,12:00,men,qualifying,Cattolica (Italy) - Qualification,Cattolica - Final,F. Forti - S. Pieri,S. Pieri,F. Forti,20697,1191,men:api:20697,men:api:1191,men:sackmann:210129,men:sackmann:209506,mapped,matched_by_match_id,min_level_not_met,2.42,loss,-1.25,1.25
min_level_not_met,2026-06-08,16:00,men,atp,Stuttgart,ATP Stuttgart - 1/16-finals,G. Onclin - F. Marozsan,G. Onclin,F. Marozsan,818,10148,men:api:818,men:api:10148,men:sackmann:206904,men:sackmann:206681,mapped,matched_by_match_id,min_level_not_met,2.62,win,2.025,1.25
min_level_not_met,2026-06-09,11:30,men,challenger,Cattolica (Italy) - Qualification,Cattolica - 1/16-finals,G. Bueno - F. Forti,F. Forti,G. Bueno,1191,9209,men:api:1191,men:api:9209,men:sackmann:209506,men:sackmann:208293,mapped,matched_by_match_id,min_level_not_met,2.3,win,1.95,1.5
min_level_not_met,2026-06-09,10:00,men,challenger,Cattolica (Italy) - Qualification,Cattolica - 1/16-finals,G. Ferrari - H. S. Callejon,G. Ferrari,H. S. Callejon,658,50705,men:api:658,men:api:50705,men:sackmann:208189,men:sackmann:212090,mapped,matched_by_match_id,min_level_not_met,2.1,win,1.375,1.25
min_level_not_met,2026-06-09,13:00,women,challenger,Modena (Italy) - Qualification,Modena - 1/16-finals,M. Bassols - D. Semenistaja,M. Bassols,D. Semenistaja,135,157,women:api:135,women:api:157,women:sackmann:215453,women:sackmann:221985,mapped,matched_by_match_id,min_level_not_met,2.37,loss,-1.5,1.5
min_level_not_met,2026-06-09,10:00,men,challenger,Cattolica (Italy) - Qualification,Cattolica - 1/16-finals,M. H. Rehberg - R. Carballes Baena,M. H. Rehberg,R. Carballes Baena,3604,593,men:api:3604,men:api:593,men:sackmann:208819,men:sackmann:106148,mapped,matched_by_match_id,min_level_not_met,2.5,loss,-1.25,1.25
min_level_not_met,2026-06-09,10:00,men,challenger,Cattolica (Italy) - Qualification,Cattolica - 1/16-finals,M. Tobon - A. Vasilev,A. Vasilev,M. Tobon,52072,34386,men:api:52072,men:api:34386,men:sackmann:211651,men:sackmann:101495,mapped,matched_by_match_id,min_level_not_met,2.25,win,1.875,1.5
min_level_not_met,2026-06-10,12:30,women,itf,W35 Casablanca,W35 Casablanca - 1/16-finals,A. El Aouni - A. Teixido Garcia,A. El Aouni,A. Teixido Garcia,10897,22522,women:api:10897,women:api:22522,women:sackmann:223671,women:sackmann:220163,mapped,matched_by_match_id,min_level_not_met,2.75,loss,-1.25,1.25
min_level_not_met,2026-06-11,13:00,women,challenger,Modena (Italy) - Qualification,Modena - 1/8-finals,L. Romero Gormaz - M. Sherif,L. Romero Gormaz,M. Sherif,141,510,women:api:141,women:api:510,women:sackmann:220742,women:sackmann:210886,mapped,matched_by_match_id,min_level_not_met,2.5,win,1.875,1.25
min_level_not_met,2026-06-11,12:30,men,atp,Stuttgart,ATP Stuttgart - 1/8-finals,S. Shimabukuro - N. Kyrgios,S. Shimabukuro,N. Kyrgios,9608,2984,men:api:9608,men:api:2984,men:sackmann:200647,men:sackmann:106401,mapped,matched_by_match_id,min_level_not_met,2.4,win,2.1,1.5
min_level_not_met,2026-06-12,10:30,men,itf,M15 Nyiregyhaza,M15 Nyiregyhaza - Quarter-finals,A. Boros - P. O. Fellin,A. Boros,P. O. Fellin,13823,8649,men:api:13823,men:api:8649,men:sackmann:210236,men:sackmann:209165,mapped,matched_by_match_id,min_level_not_met,2.1,win,1.375,1.25
min_level_not_met,2026-06-12,14:30,men,challenger,Lyon,Lyon - Quarter-finals,D. E. Galan - K. Coppejans,D. E. Galan,K. Coppejans,1735,1205,men:api:1735,men:api:1205,men:sackmann:123755,men:sackmann:106293,mapped,matched_by_match_id,min_level_not_met,2.05,win,1.575,1.5
min_level_not_met,2026-06-12,17:45,men,challenger,Lyon,Lyon - Quarter-finals,F. Balshaw - C. Tabur,F. Balshaw,C. Tabur,52682,1762,men:api:52682,men:api:1762,men:sackmann:213149,men:sackmann:202127,mapped,matched_by_match_id,min_level_not_met,2.34,win,2.01,1.5
min_level_not_met,2026-06-12,12:30,men,itf,M15 Vaasa,M15 Vaasa - Quarter-finals,F. Peliwo - M. Ponchet,M. Ponchet,F. Peliwo,17612,1313,men:api:17612,men:api:1313,men:sackmann:210328,men:sackmann:106290,mapped,matched_by_match_id,min_level_not_met,2.23,loss,-1.25,1.25
min_level_not_met,2026-06-12,11:00,men,itf,M15 Vaasa,M15 Vaasa - Quarter-finals,G. Dalmasso - T. Zeuch,G. Dalmasso,T. Zeuch,38125,82368,men:api:38125,men:api:82368,men:sackmann:211409,men:sackmann:206216,mapped,matched_by_match_id,min_level_not_met,1.91,win,1.1375,1.25
min_level_not_met,2026-06-12,11:20,men,atp,Stuttgart,ATP Stuttgart - Quarter-finals,G. Mpetshi Perricard - A. Bublik,G. Mpetshi Perricard,A. Bublik,9222,1895,men:api:9222,men:api:1895,men:sackmann:208659,men:sackmann:122330,mapped,matched_by_match_id,min_level_not_met,2.72,loss,-1.25,1.25
min_level_not_met,2026-06-12,15:00,women,wta,London,WTA London - Quarter-finals,I. Jovic - A. Anisimova,I. Jovic,A. Anisimova,58226,2074,women:api:58226,women:api:2074,women:sackmann:260300,women:sackmann:216153,mapped,matched_by_match_id,min_level_not_met,2.19,win,1.785,1.5
min_level_not_met,2026-06-12,17:20,men,atp,Stuttgart,ATP Stuttgart - Quarter-finals,J. Lehecka - F. Tiafoe,F. Tiafoe,J. Lehecka,2846,2959,men:api:2846,men:api:2959,men:sackmann:126207,men:sackmann:208103,mapped,matched_by_match_id,min_level_not_met,2.14,loss,-1.25,1.25
min_level_not_met,2026-06-12,20:30,women,challenger,Modena (Italy) - Qualification,Modena - Quarter-finals,K. Quevedo - L. Samson,K. Quevedo,L. Samson,13647,2815,women:api:13647,women:api:2815,women:sackmann:259733,women:sackmann:266671,mapped,matched_by_match_id,min_level_not_met,1.91,loss,-1.5,1.5
min_level_not_met,2026-06-12,13:35,men,challenger,Bratislava,Bratislava - Quarter-finals,P. Brunclik - V. Sachko,P. Brunclik,V. Sachko,38921,1899,men:api:38921,men:api:1899,men:sackmann:210557,men:sackmann:126964,mapped,matched_by_match_id,min_level_not_met,2.0,loss,-1.5,1.5
min_level_not_met,2026-06-12,12:20,women,challenger,Ilkley,Ilkley - 1/8-finals,V. Golubic - K. Swan,K. Swan,V. Golubic,1129,525,women:api:1129,women:api:525,women:sackmann:215042,women:sackmann:203530,mapped,matched_by_match_id,min_level_not_met,2.6,win,2.0,1.25
min_level_not_met,2026-06-13,12:00,men,challenger,Ilkley,Ilkley - Quarter-finals,Dar. Blanch - J. Fearnley,Dar. Blanch,J. Fearnley,17463,12951,men:api:17463,men:api:12951,men:sackmann:210464,men:sackmann:207985,mapped,matched_by_match_id,min_level_not_met,2.28,loss,-1.5,1.5
min_level_not_met,2026-06-13,11:00,women,itf,W35 Casablanca,W35 Casablanca - Semi-finals,E. Lene - A. Teixido Garcia,E. Lene,A. Teixido Garcia,13258,22522,women:api:13258,women:api:22522,women:sackmann:215778,women:sackmann:220163,mapped,matched_by_match_id,min_level_not_met,1.92,loss,-1.25,1.25
min_level_not_met,2026-06-13,12:30,women,qualifying,Berlin,WTA Berlin - Semi-finals,M. Pohankova - T. Korpatsch,M. Pohankova,T. Korpatsch,61034,501,women:api:61034,women:api:501,women:sackmann:266376,women:sackmann:211337,mapped,matched_by_match_id,min_level_not_met,1.83,win,0.83,1.0
min_level_not_met,2026-06-13,12:00,men,challenger,Ilkley,Ilkley - Quarter-finals,O. Tarvet - F. Romano,F. Romano,O. Tarvet,39002,9368,men:api:39002,men:api:9368,men:sackmann:211542,men:sackmann:210472,mapped,matched_by_match_id,min_level_not_met,2.85,win,2.3125,1.25
min_level_not_met,2026-06-13,18:00,women,qualifying,Nottingham,WTA Nottingham - Semi-finals,Z. Sonmez - L. Tararudee,L. Tararudee,Z. Sonmez,25728,4062,women:api:25728,women:api:4062,women:sackmann:222290,women:sackmann:220309,mapped,matched_by_match_id,min_level_not_met,2.6,loss,-1.25,1.25
min_level_not_met,2026-06-14,16:30,men,challenger,Cattolica (Italy) - Qualification,Cattolica - Final,J. De Jong - R. Carballes Baena,R. Carballes Baena,J. De Jong,593,412,men:api:593,men:api:412,men:sackmann:106148,men:sackmann:207411,mapped,matched_by_match_id,min_level_not_met,2.57,loss,-1.25,1.25
min_level_not_met,2026-06-16,18:00,women,challenger,Brescia (Italy) - Qualification,Brescia - 1/16-finals,C. Monnet - M. Trevisan,C. Monnet,M. Trevisan,1831,512,women:api:1831,women:api:512,women:sackmann:220733,women:sackmann:203354,mapped,matched_by_match_id,min_level_not_met,2.27,win,1.905,1.5
min_level_not_met,2026-06-16,12:30,men,challenger,Royan,Royan - 1/16-finals,C. Rolland de Ravel - G. Blancaneaux,C. Rolland de Ravel,G. Blancaneaux,54824,409,men:api:54824,men:api:409,men:sackmann:213977,men:sackmann:144972,mapped,matched_by_match_id,min_level_not_met,2.38,win,2.07,1.5
min_level_not_met,2026-06-16,12:00,women,challenger,Brescia (Italy) - Qualification,Brescia - 1/16-finals,M. Ristic - D. Chiesa,D. Chiesa,M. Ristic,231,38070,women:api:231,women:api:38070,women:sackmann:211328,women:sackmann:239392,mapped,matched_by_match_id,min_level_not_met,2.36,loss,-1.5,1.5
min_level_not_met,2026-06-16,15:00,men,challenger,Dublin (Ireland) - Qualification,Dublin - 1/16-finals,O. Crawford - D. Glinka,O. Crawford,D. Glinka,945,780,men:api:945,men:api:780,men:sackmann:200610,men:sackmann:206750,mapped,matched_by_match_id,min_level_not_met,1.92,win,1.38,1.5
min_level_not_met,2026-06-16,16:30,men,challenger,Dublin (Ireland) - Qualification,Dublin - 1/16-finals,T. Droguet - C. Broom,C. Broom,T. Droguet,745,8926,men:api:745,men:api:8926,men:sackmann:200277,men:sackmann:208169,mapped,matched_by_match_id,min_level_not_met,2.17,loss,-1.5,1.5
min_surface_not_met,2026-05-26,20:30,men,itf,"M15 Lakewood, CA","M15 Lakewood, CA - 1/16-finals",M. Kuhar - N. Johnston,N. Johnston,M. Kuhar,68734,1247,men:api:68734,men:api:1247,men:sackmann:213654,men:sackmann:208386,mapped,matched_by_match_id,min_surface_not_met,1.9,win,0.675,0.75
min_surface_not_met,2026-05-27,04:30,men,itf,M15 Karuizawa,M15 Karuizawa - 1/16-finals,K. Nishiwaki - T. Takamisawa,K. Nishiwaki,T. Takamisawa,9655,18731,men:api:9655,men:api:18731,men:sackmann:144744,men:sackmann:207236,mapped,matched_by_match_id,min_surface_not_met,2.2,win,1.5,1.25
min_surface_not_met,2026-05-27,03:00,men,itf,M15 Karuizawa,M15 Karuizawa - 1/16-finals,Y. Taka - T. Karigyo,T. Karigyo,Y. Taka,81134,52574,men:api:81134,men:api:52574,men:sackmann:213785,men:sackmann:212196,mapped,matched_by_match_id,min_surface_not_met,2.7,loss,-1.25,1.25
min_surface_not_met,2026-06-01,13:00,women,challenger,Birmingham,Birmingham - 1/16-finals,M. Sawangkaew - L. Klimovicova,M. Sawangkaew,L. Klimovicova,12716,8978,women:api:12716,women:api:8978,women:sackmann:216566,women:sackmann:221626,mapped,matched_by_date_gender_pair,min_surface_not_met,1.72,win,0.72,1.0
min_surface_not_met,2026-06-02,13:00,women,challenger,Birmingham,Birmingham - 1/16-finals,M. Stoiana - L. Sun,M. Stoiana,L. Sun,56261,1815,women:api:56261,women:api:1815,women:sackmann:223168,women:sackmann:215138,mapped,matched_by_match_id,min_surface_not_met,2.6,win,2.0,1.25
min_surface_not_met,2026-06-04,12:00,women,challenger,Birmingham,Birmingham - 1/8-finals,A. Krueger - J. Tjen,A. Krueger,J. Tjen,196,28551,women:api:196,women:api:28551,women:sackmann:221909,women:sackmann:222145,mapped,matched_by_match_id,min_surface_not_met,1.8,win,1.0,1.25
